Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;01 Andalucía;;2008M06;10.900
Viviendas: Total;Total Nacional;01 Andalucía;;2008M05;11.182
Viviendas: Total;Total Nacional;01 Andalucía;;2008M04;11.970
Viviendas: Total;Total Nacional;01 Andalucía;;2008M03;9.989
Viviendas: Total;Total Nacional;01 Andalucía;;2008M02;12.026
Viviendas: Total;Total Nacional;01 Andalucía;;2008M01;13.209
Viviendas: Total;Total Nacional;01 Andalucía;;2007M12;9.802
Viviendas: Total;Total Nacional;01 Andalucía;;2007M11;13.041
Viviendas: Total;Total Nacional;01 Andalucía;;2007M10;13.847
Viviendas: Total;Total Nacional;01 Andalucía;;2007M09;13.926
Viviendas: Total;Total Nacional;01 Andalucía;;2007M08;12.935
Viviendas: Total;Total Nacional;01 Andalucía;;2007M07;14.634
Viviendas: Total;Total Nacional;01 Andalucía;;2007M06;14.320
Viviendas: Total;Total Nacional;01 Andalucía;;2007M05;16.276
Viviendas: Total;Total Nacional;01 Andalucía;;2007M04;12.242
Viviendas: Total;Total Nacional;01 Andalucía;;2007M03;15.868
Viviendas: Total;Total Nacional;01 Andalucía;;2007M02;14.391
Viviendas: Total;Total Nacional;01 Andalucía;;2007M01;16.521
Viviendas: Total;Total Nacional;02 Aragón;;2024M03;1.155
Viviendas: Total;Total Nacional;02 Aragón;;2024M02;1.372
Viviendas: Total;Total Nacional;02 Aragón;;2024M01;1.506
Viviendas: Total;Total Nacional;02 Aragón;;2023M12;1.087
Viviendas: Total;Total Nacional;02 Aragón;;2023M11;1.310
Viviendas: Total;Total Nacional;02 Aragón;;2023M10;1.155
Viviendas: Total;Total Nacional;02 Aragón;;2023M09;1.119
Viviendas: Total;Total Nacional;02 Aragón;;2023M08;1.303
Viviendas: Total;Total Nacional;02 Aragón;;2023M07;1.319
Viviendas: Total;Total Nacional;02 Aragón;;2023M06;1.465
Viviendas: Total;Total Nacional;02 Aragón;;2023M05;1.481
Viviendas: Total;Total Nacional;02 Aragón;;2023M04;1.117
Viviendas: Total;Total Nacional;02 Aragón;;2023M03;1.266
Viviendas: Total;Total Nacional;02 Aragón;;2023M02;1.245
Viviendas: Total;Total Nacional;02 Aragón;;2023M01;1.460
Viviendas: Total;Total Nacional;02 Aragón;;2022M12;1.048
Viviendas: Total;Total Nacional;02 Aragón;;2022M11;1.339
Viviendas: Total;Total Nacional;02 Aragón;;2022M10;1.157
Viviendas: Total;Total Nacional;02 Aragón;;2022M09;1.624
Viviendas: Total;Total Nacional;02 Aragón;;2022M08;1.557
Viviendas: Total;Total Nacional;02 Aragón;;2022M07;1.397
Viviendas: Total;Total Nacional;02 Aragón;;2022M06;1.681
Viviendas: Total;Total Nacional;02 Aragón;;2022M05;1.522
Viviendas: Total;Total Nacional;02 Aragón;;2022M04;1.206
Viviendas: Total;Total Nacional;02 Aragón;;2022M03;1.511
Viviendas: Total;Total Nacional;02 Aragón;;2022M02;1.369
Viviendas: Total;Total Nacional;02 Aragón;;2022M01;1.334
Viviendas: Total;Total Nacional;02 Aragón;;2021M12;1.230
Viviendas: Total;Total Nacional;02 Aragón;;2021M11;1.183
Viviendas: Total;Total Nacional;02 Aragón;;2021M10;1.090
Viviendas: Total;Total Nacional;02 Aragón;;2021M09;1.374
Viviendas: Total;Total Nacional;02 Aragón;;2021M08;1.253
Viviendas: Total;Total Nacional;02 Aragón;;2021M07;1.242
Viviendas: Total;Total Nacional;02 Aragón;;2021M06;1.435
Viviendas: Total;Total Nacional;02 Aragón;;2021M05;1.552
Viviendas: Total;Total Nacional;02 Aragón;;2021M04;1.060
Viviendas: Total;Total Nacional;02 Aragón;;2021M03;1.200
Viviendas: Total;Total Nacional;02 Aragón;;2021M02;1.102
Viviendas: Total;Total Nacional;02 Aragón;;2021M01;1.214
Viviendas: Total;Total Nacional;02 Aragón;;2020M12;1.184
Viviendas: Total;Total Nacional;02 Aragón;;2020M11;1.158
Viviendas: Total;Total Nacional;02 Aragón;;2020M10;1.035
Viviendas: Total;Total Nacional;02 Aragón;;2020M09;1.042
Viviendas: Total;Total Nacional;02 Aragón;;2020M08;990
Viviendas: Total;Total Nacional;02 Aragón;;2020M07;974
Viviendas: Total;Total Nacional;02 Aragón;;2020M06;694
Viviendas: Total;Total Nacional;02 Aragón;;2020M05;643
Viviendas: Total;Total Nacional;02 Aragón;;2020M04;546
Viviendas: Total;Total Nacional;02 Aragón;;2020M03;870
Viviendas: Total;Total Nacional;02 Aragón;;2020M02;1.204
