Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M06;28.459.008
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M05;23.486.608
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M04;21.690.169
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M03;17.428.802
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M02;13.555.040
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M01;12.356.394
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M12;13.141.207
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M11;14.269.663
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M10;23.372.257
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M09;29.918.731
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M08;37.636.214
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M07;34.105.558
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M06;27.996.368
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M05;23.734.897
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M04;21.185.887
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M03;16.370.344
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M02;13.221.070
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2006M01;12.075.662
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M12;11.572.418
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M11;13.162.420
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M10;22.163.277
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M09;28.313.666
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M08;35.857.571
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M07;31.022.067
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M06;25.042.689
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M05;22.318.874
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M04;16.480.644
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M03;16.184.767
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M02;12.430.710
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2005M01;11.088.055
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M12;11.384.786
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M11;12.294.550
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M10;21.180.295
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M09;26.878.757
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M08;34.472.302
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M07;29.131.986
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M06;23.776.940
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M05;20.624.722
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M04;17.537.681
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M03;14.731.784
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M02;12.278.676
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2004M01;10.404.685
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M12;10.426.118
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M11;11.600.240
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M10;19.635.547
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M09;25.943.815
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M08;33.851.008
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M07;28.557.092
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M06;24.047.255
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M05;20.977.540
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M04;17.483.719
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M03;14.414.114
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M02;11.135.676
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2003M01;10.088.783
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M12;10.267.810
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M11;11.536.070
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M10;19.395.671
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M09;25.483.036
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M08;32.147.463
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M07;27.712.422
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M06;22.781.459
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M05;20.427.391
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M04;15.757.341
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M03;15.746.849
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M02;11.501.625
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2002M01;9.797.644
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M12;10.051.397
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M11;11.920.037
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M10;20.014.768
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M09;26.584.837
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M08;32.004.309
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M07;28.657.024
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M06;23.896.573
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M05;21.063.744
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2001M04;18.085.751
